District,SCRN,School English Name,K1 Vacancy Status (Y/N/P),K1 As At Date
KWUN TONG,563790-0001,PO LEUNG KUK KIM HUYNH KINDERGARTEN,N,04/07/2023
KWUN TONG,604259-0001,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,Y,04/07/2023
KWUN TONG,563935-0001,PO LEUNG KUK LEE SIU CHAN KINDERGARTEN,Y,04/07/2023
KWUN TONG,563730-0001,PO LEUNG KUK NG PO LING KINDERGARTEN,Y,04/07/2023
KWUN TONG,564036-0001,POK OI HOSPITAL CHAN HSU FONG LAM KG,Y,04/07/2023
KWUN TONG,566683-0001,POK OI HOSPITAL SY SIOK CHUN KG,Y,04/07/2023
KWUN TONG,595365-0001,SA CENTALINE CHARITY FUND YAU TONG KG,Y,04/07/2023
KWUN TONG,523364-0001,SALVATION ARMY PING TIN KINDERGARTEN,P,04/07/2023
KWUN TONG,325236-0001,SHARON LUTHERAN CHURCH KINDERGARTEN,Y,04/07/2023
KWUN TONG,324426-0001,SHIN YAT TONG ON YAT KINDERGARTEN,Y,04/07/2023
KWUN TONG,543390-0001,SHUN TAK FRATERNAL ASSN LEUNG KIT WAH KG,Y,04/07/2023
KWUN TONG,564486-0001,SHUN TIN RHENISH NURSERY,N,04/07/2023
KWUN TONG,564389-0001,SIS. IMMACULATE HEART MARY GOSPEL SMP KG,N,04/07/2023
KWUN TONG,325937-0001,SKH KINDLY LIGHT CH HOLY CARPENTER KG,Y,04/07/2023
KWUN TONG,607886-0001,SKH KINDLY LIGHT CH HOLY CARPENTER KG BR,N,04/07/2023
KWUN TONG,532169-0001,ST ANTONIUS KINDERGARTEN,Y,04/07/2023
KWUN TONG,319562-0001,ST BARNABAS' CHURCH KINDERGARTEN,Y,04/07/2023
KWUN TONG,325708-0001,ST JAMES CATHOLIC KINDERGARTEN,Y,04/07/2023
KWUN TONG,325732-0001,ST PHILIP LUTHERAN CHURCH KINDERGARTEN,Y,04/07/2023
KWUN TONG,563510-0001,ST VINCENT DE PAUL NURSERY SCHOOL,Y,04/07/2023
KWUN TONG,324736-0001,TELFORD GARDENS KINDERGARTEN,Y,04/07/2023
KWUN TONG,563749-0001,TSUNG TSIN MISSION OF HK ON YEE N SCH,Y,04/07/2023
KWUN TONG,517127-0001,TWGH WONG SEE SUM KINDERGARTEN,Y,04/07/2023
KWUN TONG,563536-0001,TWGHS CHAN HAN NURSERY SCHOOL,Y,04/07/2023
KWUN TONG,605530-0001,TWGHS LUCINA LAAM HO KINDERGARTEN,P,04/07/2023
KWUN TONG,566950-0001,UNITED CHRISTIAN MED SERVICE NURSERY SCH,Y,04/07/2023
KWUN TONG,528366-0001,YUEN YUEN KINDERGARTEN (PING TIN ESTATE),Y,04/07/2023
TSUEN WAN,601497-0001,611 TREE OF LIFE KINDERGARTEN,Y,04/07/2023
TSUEN WAN,563846-0001,ALICE LAN&VERA SHEN EDU F GORDON PEI KG,N,04/07/2023
TSUEN WAN,159220-0001,ANNUNCIATION CATHOLIC KINDERGARTEN,Y,04/07/2023
TSUEN WAN,560820-0001,ASSEMBLY OF GOD MCLEOD MEMORIAL KG,N,04/07/2023
TSUEN WAN,526010-0001,CANNAN KINDERGARTEN (RIVIERA GARDEN),Y,04/07/2023
TSUEN WAN,516376-0001,CANNAN KINDERGARTEN (TSUEN WAN),P,04/07/2023
TSUEN WAN,565628-0001,CASTAR KINDERGARTEN (LEI MUK SHUE),Y,04/07/2023
TSUEN WAN,566403-0001,CCC FUK YAU KINDERGARTEN,Y,04/07/2023
TSUEN WAN,566411-0001,CCC FUK YAU NO. II KINDERGARTEN,Y,04/07/2023
TSUEN WAN,598038-0001,CHRISTIAN ADRIANNE KG (BAYVIEW),Y,04/07/2023
TSUEN WAN,575640-0001,CHRISTIAN ADRIANNE KINDERGARTEN,Y,04/07/2023
TSUEN WAN,152269-0001,CHUEN YUEN CHURCH KINDERGARTEN,Y,04/07/2023
TSUEN WAN,552747-0001,CREATIVE KINDERGARTEN (MA WAN),Y,04/07/2023
TSUEN WAN,152498-0001,FUK LOY CHUEN KAM CHUEN KINDERGARTEN,Y,04/07/2023
TSUEN WAN,565296-0001,HKSPC SHAM TSENG NURSERY SCHOOL,Y,04/07/2023
TSUEN WAN,157066-0001,HKTA YUEN YUEN KINDERGARTEN,Y,04/07/2023
TSUEN WAN,563293-0001,HKYWCA TSUEN WAN NURSERY SCHOOL,N,04/07/2023
TSUEN WAN,595969-0001,HONG KONG LING LIANG CHURCH TSUEN WAN KG,P,04/07/2023
TSUEN WAN,156612-0002,MOE KINDERGARTEN,Y,04/07/2023
TSUEN WAN,152579-0001,MOON LOK KINDERGARTEN,Y,04/07/2023
TSUEN WAN,231690-0001,PARKVIEW RHINE GARDEN PRE-SCHOOL,Y,04/07/2023
TSUEN WAN,563757-0001,PO LEUNG KUK CHI PUI KINDERGARTEN,Y,04/07/2023
TSUEN WAN,563676-0001,PO LEUNG KUK FONG TAM YUEN LEUNG KG,Y,04/07/2023
TSUEN WAN,562963-0001,SA LEI MUK SHUE NURSERY SCH,N,04/07/2023
TSUEN WAN,158550-0001,SA NG KWOK WAI MEMORIAL KINDERGARTEN,Y,04/07/2023
TSUEN WAN,563129-0001,SA TSUEN WAN NURSERY SCH,N,04/07/2023
TSUEN WAN,231533-0001,ST MONICA'S ANGLO-CHINESE KG (TSUEN WAN),Y,04/07/2023
TSUEN WAN,566187-0001,ST MONICA'S KINDERGARTEN (TSUEN WAN),P,04/07/2023
TSUEN WAN,231584-0001,ST. ANTHONY'S KG (BELVEDERE GARDEN),Y,04/07/2023
TSUEN WAN,158496-0001,TSUEN WAN BAPTIST CHURCH KINDERGARTEN,P,04/07/2023
TSUEN WAN,153907-0001,TSUEN WAN OUR LADY KINDERGARTEN,Y,04/07/2023
TSUEN WAN,156922-0001,TSUEN WAN ST DOMINIC SAVIO KINDERGARTEN,N,04/07/2023
TSUEN WAN,562890-0001,YAN CHAI HOSPITAL CHOI PAT TAI KG,N,04/07/2023
TUEN MUN,231592-0001,AGNES ENGLISH KINDERGARTEN,P,04/07/2023
TUEN MUN,539554-0001,BAPTIST CONVENTION OF HK PO TIN KG,Y,04/07/2023
TUEN MUN,609641-0001,CANNAN KINDERGARTEN (PRIME VIEW GARDEN),Y,04/07/2023
TUEN MUN,566292-0001,CCC TUEN MUN CHURCH KG,Y,04/07/2023
TUEN MUN,596442-0001,CCC TUEN MUN CHURCH NO. 2 KINDERGARTEN,Y,04/07/2023
TUEN MUN,157236-0001,CHING CHUNG WU KING KINDERGARTEN,Y,04/07/2023
TUEN MUN,556246-0001,CREATIVE KINDERGARTEN (AEGEAN COAST),Y,04/07/2023
TUEN MUN,158852-0001,CREATIVE KINDERGARTEN (TUEN MUN BRANCH),Y,04/07/2023
TUEN MUN,565784-0001,FU TAI LUTHERAN DAY NURSERY,Y,04/07/2023
TUEN MUN,156930-0001,GUIDEPOSTS KG (TUEN MUN BRANCH),P,04/07/2023
TUEN MUN,158658-0001,GUIDEPOSTS KG 2ND BR (KIN SANG ESTATE),Y,04/07/2023
TUEN MUN,563277-0001,HKSKH ST SIMON'S LEUNG KING NURSERY SCH,Y,04/07/2023
TUEN MUN,563307-0001,HKSKH ST SIMON'S TAI HING NURSERY SCH,Y,04/07/2023
TUEN MUN,565059-0001,HKSPC BUTTERFLY ESTATE NURSERY SCHOOL,P,04/07/2023
TUEN MUN,562904-0001,HKYWCA ON TING NURSERY SCHOOL,Y,04/07/2023
TUEN MUN,157490-0001,"HOH FUK TONG KG (TM CH, CCC, HK CCL)",Y,04/07/2023
TUEN MUN,567892-0002,JING JING KG (TUEN MUN BRANCH),Y,04/07/2023
TUEN MUN,536768-0003,KARLAM KG (TUEN MUN BRANCH),Y,04/07/2023
TUEN MUN,562874-0001,KIN SANG BAPTIST CHURCH BRADBURY PRE SCH,Y,04/07/2023
TUEN MUN,158674-0001,KIN SANG LUTHERAN KINDERGARTEN,Y,04/07/2023
TUEN MUN,565725-0001,LEUNG KING LUTHERAN DAY NURSERY,P,04/07/2023
TUEN MUN,599999-0001,LITTLE NEWTON ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
TUEN MUN,158380-0001,LKWFS CHU SUI LAN ANGLO-CHINESE KG,Y,04/07/2023
TUEN MUN,158836-0001,LOK SIN TONG CHEUNG YIP MOU CHING KG,Y,04/07/2023
TUEN MUN,543616-0001,LST TANG TAK LIM KINDERGARTEN,Y,04/07/2023
TUEN MUN,157074-0001,LUI CHEUNG KWONG LUTHERAN KINDERGARTEN,Y,04/07/2023
TUEN MUN,231185-0001,MELODY AC KG (PRIME VIEW GARDEN BR),Y,04/07/2023
TUEN MUN,157503-0001,MELODY ANGLO-CHINESE KINDERGARTEN,P,04/07/2023
TUEN MUN,565679-0001,MELODY NURSERY (MELODY GARDEN),Y,04/07/2023
TUEN MUN,539872-0001,PLK CHOI KOON SHUM KINDERGARTEN,Y,04/07/2023
TUEN MUN,157376-0001,PLK TIN KA PING SIU HONG KINDERGARTEN,N,04/07/2023
TUEN MUN,158623-0001,PLK YICK KWAI FONG KINDERGARTEN,Y,04/07/2023
TUEN MUN,565318-0001,PO LEUNG KUK BUTTERFLY BAY KINDERGARTEN,Y,04/07/2023
TUEN MUN,563960-0001,PO LEUNG KUK YAU OI KINDERGARTEN,P,04/07/2023
TUEN MUN,156728-0001,REGINA COELI ANGLO-CHINESE KG (2ND BR),Y,04/07/2023
TUEN MUN,156515-0001,REGINA COELI ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
TUEN MUN,563080-0001,SA SAM SHING NURSERY SCH,N,04/07/2023
TUEN MUN,566179-0001,SKH S P CH CASTLE PEAK TSING WUN RD KG,N,04/07/2023
TUEN MUN,159131-0001,SKH ST PETER'S CH CP SIU LUN COURT KG,P,04/07/2023
TUEN MUN,157473-0001,SKH ST PETER'S CH SHAN KING ESTATE KG,Y,04/07/2023
TUEN MUN,151947-0001,SKH ST PETER'S CHURCH KG (CASTLE PEAK),Y,04/07/2023
TUEN MUN,157090-0001,STFA TM LEUNG LEE SAU YU KINDERGARTEN,P,04/07/2023
TUEN MUN,158747-0001,TIN KING EST BAPT LUI KWOK PAT FONG KG,Y,04/07/2023
TUEN MUN,541389-0001,TRUTH BAPTIST CHURCH EMPOWER KG,Y,04/07/2023
TUEN MUN,156744-0001,TWGH KO TECK KIN MEMORIAL KINDERGARTEN,N,04/07/2023
TUEN MUN,158054-0001,TWGH LEE WONG HING CHEUNG MEMORIAL KG,Y,04/07/2023
TUEN MUN,564150-0001,TWGHS  FONG TAM YUEN LEUNG NURSERY SCH,Y,04/07/2023
TUEN MUN,611093-0001,TWGHS KATHERINE MA KINDERGARTEN,Y,04/07/2023
TUEN MUN,563595-0001,TWGHS TIN KA PING NURSERY SCH,Y,04/07/2023
TUEN MUN,565911-0001,W.F.B. AVALOKITESVARA NURSERY SCH,Y,04/07/2023
TUEN MUN,565890-0001,W.F.B. MANTRA INSTITUTE NURSERY SCH,P,04/07/2023
TUEN MUN,563412-0001,YAN CHAI HOSPITAL SHAN KING KINDERGARTEN,N,04/07/2023
TUEN MUN,563366-0001,YAN CHAI HOSPITAL YAU OI KINDERGARTEN,Y,04/07/2023
TUEN MUN,539163-0001,YAN CHAI HOSPITAL YIM TSUI YUK SHAN KG,N,04/07/2023
TUEN MUN,157279-0001,YAN OI TONG ALLAN YAP KINDERGARTEN,Y,04/07/2023
TUEN MUN,564265-0001,YAN OI TONG LAU WONG FAT KINDERGARTEN,Y,04/07/2023
TUEN MUN,157031-0001,YAN OI TONG NGAN PO LING KINDERGARTEN,Y,04/07/2023
TUEN MUN,564273-0001,YAN OI TONG TIN KA PING KG,N,04/07/2023
YUEN LONG,597384-0001,ABIDING KINDERGARTEN,N,04/07/2023
YUEN LONG,597384-0002,ABIDING KINDERGARTEN,N,04/07/2023
YUEN LONG,537594-0001,ACADEMY KINDERGARTEN (TIN SHUI WAI),Y,04/07/2023
YUEN LONG,554383-0001,AGNES KINDERGARTEN (GRANDEUR TERRACE),Y,04/07/2023
YUEN LONG,598623-0001,AGNES WISE KINDERGARTEN,Y,04/07/2023
YUEN LONG,535583-0001,BAPTIST CHURCH SHINING GRACE KG,Y,04/07/2023
YUEN LONG,541427-0001,BUDDHIST CHI KWONG KINDERGARTEN,Y,04/07/2023
YUEN LONG,565814-0001,C & MA TIN CHUNG NURSERY SCH,P,04/07/2023
YUEN LONG,156949-0001,C&MA FAIRVIEW PARK KINDERGARTEN,Y,04/07/2023
YUEN LONG,534790-0001,CASTAR KINDERGARTEN,Y,04/07/2023
YUEN LONG,563226-0001,CECES ORGANIZED AETNA PRESCHOOL,N,04/07/2023
YUEN LONG,541230-0001,CHINESE YMCA KINDERGARTEN,Y,04/07/2023
YUEN LONG,159042-0001,CHR ALLIANCE CHEN LEE WING TSING MEM KG,Y,04/07/2023
YUEN LONG,560740-0001,CUHK FAA CHAN CHUN HA KINDERGARTEN,Y,04/07/2023
YUEN LONG,600377-0001,CUHK FAA SHUN LUNG YAN CHAK KINDERGARTEN,Y,04/07/2023
YUEN LONG,566780-0001,EFCC - TIN YAN NURSERY SCHOOL,Y,04/07/2023
YUEN LONG,590614-0001,ELITE KIDS ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
YUEN LONG,566012-0001,FIRST AOG CHURCH TIN CHAK NURSERY,Y,04/07/2023
YUEN LONG,541222-0001,GIGAMIND KINDERGARTEN,N,04/07/2023
YUEN LONG,159190-0001,GUIDEPOSTS KG 3RD BR (TIN SHUI ESTATE),Y,04/07/2023
YUEN LONG,524204-0001,HHCKLA BUDDHIST LAM WONG MING WAI KG,Y,04/07/2023
YUEN LONG,565377-0001,HKCS TIN HENG NURSERY SCHOOL,N,04/07/2023
YUEN LONG,564702-0001,HKSKH HA SUI WAN NURSERY SCHOOL,N,04/07/2023
YUEN LONG,159050-0001,HO SHUI KG SPONSORED BY SIK SIK YUEN,Y,04/07/2023
YUEN LONG,524360-0002,JADE KINDERGARTEN,Y,04/07/2023
YUEN LONG,519812-0001,JING JING AC KG (HUNG SHUI KIU BR),Y,04/07/2023
YUEN LONG,231886-0002,KARLAM ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
YUEN LONG,158410-0001,LONG PING ESTATE SING YAN KINDERGARTEN,Y,04/07/2023
YUEN LONG,532835-0001,MCC LITTLE ANGEL (TIN SHING) K/G,P,04/07/2023
YUEN LONG,566373-0001,NAAC YUEN LONG DAY NURSERY,Y,04/07/2023
YUEN LONG,158313-0001,NT AOG CHURCH WAI YAN KINDERGARTEN,Y,04/07/2023
YUEN LONG,566349-0001,NTW&JWA L YUEN LONG NURSERY SCHOOL,N,04/07/2023
YUEN LONG,575666-0001,PEACE EVANGELICAL CTR KG (TIN SHUI WAI),Y,04/07/2023
YUEN LONG,159034-0001,PLK CHAN SENG YEE KINDERGARTEN,Y,04/07/2023
YUEN LONG,605735-0001,PLK ELEANOR KWOK LAW KWAI CHUN KG,P,04/07/2023
YUEN LONG,564982-0001,PO LEUNG KUK LIU SEW HAR KINDERGARTEN,N,04/07/2023
YUEN LONG,564028-0001,POH CHAN POON PUI CHING MEMORIAL KG,N,04/07/2023
YUEN LONG,564010-0001,POH MRS CHU KWOK KING MEMORIAL KG,N,04/07/2023
YUEN LONG,157732-0001,PRISTINE KINDERGARTEN,P,04/07/2023
YUEN LONG,156981-0001,REGENT'S KINDERGARTEN (BRANCH SCHOOL),P,04/07/2023
YUEN LONG,562866-0001,SA KAM TIN NURSERY SCH,N,04/07/2023
YUEN LONG,542687-0001,SAGARMATHA KINDERGARTEN,N,04/07/2023
YUEN LONG,154601-0001,SKH ST JOSEPH'S CHURCH KINDERGARTEN,P,04/07/2023
YUEN LONG,156795-0001,ST MATTHIAS' CHURCH CHIU CHUN KG,P,04/07/2023
YUEN LONG,564710-0001,ST MATTHIAS' CHURCH NURSERY SCHOOL,N,04/07/2023
YUEN LONG,543012-0001,ST. JEROME'S CATHOLIC KINDERGARTEN,Y,04/07/2023
YUEN LONG,231010-0002,SUN ISLAND ENGLISH KG (YUEN LONG BRANCH),N,04/07/2023
YUEN LONG,544167-0001,TAI PO BAPTIST KG TIN CHAK ESTATE BRANCH,Y,04/07/2023
YUEN LONG,537950-0001,TALENT KINDERGARTEN,Y,04/07/2023
YUEN LONG,543489-0001,TIN SHUI WAI ALLIANCE KINDERGARTEN,P,04/07/2023
YUEN LONG,540560-0001,TSING YI TRADE ASSN TIN SHUI WAI KG,Y,04/07/2023
YUEN LONG,158976-0001,TWGH WONG CHU WAI FUN KINDERGARTEN,P,04/07/2023
YUEN LONG,564125-0001,TWGHS  ZONTA CLUB OF KOWLOON NURSERY SCH,P,04/07/2023
YUEN LONG,543918-0001,YAN CHAI HOSPITAL MING TAK KINDERGARTEN,Y,04/07/2023
YUEN LONG,563420-0001,YAN CHAI HOSPITAL NINA LAM KINDERGARTEN,N,04/07/2023
YUEN LONG,564257-0001,YAN OI TONG NG WONG FUNG YING KG,Y,04/07/2023
YUEN LONG,570885-0001,YL CHURCH (CCC) CHAN KWONG NO. 2 KG,N,04/07/2023
YUEN LONG,566250-0001,YL CHURCH CCC CHOW SUNG CHU OI NUR SCH,N,04/07/2023
YUEN LONG,159140-0001,YL P M S A A LAU LEUNG SHEUNG MEM K/G,Y,04/07/2023
YUEN LONG,159115-0001,YL TK DIST ASSN MRS WONG SIU KEUNG KG,Y,04/07/2023
YUEN LONG,549304-0001,YL TUNG KOON DIST ASSN HUNG TING KA KG,Y,04/07/2023
YUEN LONG,158500-0001,YLC(CCC) LONG PING ESTATE CHAN KWONG KG,P,04/07/2023
YUEN LONG,158321-0001,YUEN KONG KINDERGARTEN,N,04/07/2023
YUEN LONG,151629-0001,YUEN LONG CHURCH (CCC) CHAN KWONG KG,N,04/07/2023
YUEN LONG,155624-0001,YUEN LONG LUTHERAN LIFE KINDERGARTEN,N,04/07/2023
YUEN LONG,159018-0001,YUEN LONG MERCHANTS ASSOCIATION KG,Y,04/07/2023
YUEN LONG,564508-0001,YUEN LONG RHENISH NURSERY,Y,04/07/2023
YUEN LONG,159158-0001,YUEN LONG SAM YUK KINDERGARTEN,N,04/07/2023
YUEN LONG,545333-0001,YUEN YUEN KINDERGARTEN (TIN YAT ESTATE),Y,04/07/2023
NORTH,231088-0001,BILOK ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
NORTH,157252-0001,BUDDHIST SUM TUNG FOOK KINDERGARTEN,Y,04/07/2023
NORTH,231703-0001,CARBO ANGLO-CHINESE KG (FANLING),N,04/07/2023
NORTH,565989-0001,CARITAS NURSERY SCHOOL - TA KWU LING,Y,04/07/2023
NORTH,566047-0001,CARITAS ZONTA  CLUB OF HK NURSERY SCHOOL,Y,04/07/2023
NORTH,157791-0001,CHI CHR WK'S FELLOWSHIP LTD CHOI PO KG,Y,04/07/2023
NORTH,519090-0001,CHI CHR WK'S FELLOWSP LTD KING SHING KG,Y,04/07/2023
NORTH,575429-0001,CHINESE Y.M.C.A. SHEUNG SHUI KG,Y,04/07/2023
NORTH,158763-0001,CHR THE FAITH HOPE LOVE CH WAH MING KG,Y,04/07/2023
NORTH,536415-0001,DAWNING VIEWS ELEMENTI ENGLISH KG,Y,04/07/2023
NORTH,157627-0001,EVANGELICAL LU CH OF HK CHEUNG WAH KG,Y,04/07/2023
NORTH,157627-0002,EVANGELICAL LU CH OF HK CHEUNG WAH KG,N,04/07/2023
NORTH,519499-0001,FANLING AOG CHURCH GRACE LIGHT KG,Y,04/07/2023
NORTH,153451-0001,FANLING ASSEMBLIES OF GOD KINDERGARTEN,P,04/07/2023
NORTH,156230-0001,FANLING BAPTIST CHURCH LUI MING CHOI KG,N,04/07/2023
NORTH,158364-0001,FUNG KAI KINDERGARTEN,Y,04/07/2023
NORTH,597295-0001,GLORIA CREATIVE KG (SHEUNG SHUI),Y,04/07/2023
NORTH,587869-0001,GLORIA CREATIVE KINDERGARTEN,Y,04/07/2023
NORTH,587141-0001,HHCKLA BUDDHIST WAI KWONG KA FUK KG,Y,04/07/2023
NORTH,158720-0001,HHCKLA BUDDHIST WAI KWONG KINDERGARTEN,Y,04/07/2023
NORTH,569569-0001,HKEC ELITE KINDERGARTEN,Y,04/07/2023
NORTH,565202-0001,HKSPC OPERATION SANTA CLAUS FANLING N S,Y,04/07/2023
NORTH,542326-0002,HKTA FUNG YING TUNG SIN QUEEN'S HILL KG,Y,04/07/2023
NORTH,537098-0001,HONG KONG 5-S KINDERGARTEN,Y,04/07/2023
NORTH,563285-0001,KA FUK BAPTIST CHURCH PRE-SCHOOL,N,04/07/2023
NORTH,156191-0001,KAM TSIN VILLAGE HO TUNG KINDERGARTEN,Y,04/07/2023
NORTH,516627-0001,KOWLOON CITY BAPTIST CHURCH KA FUK KG,Y,04/07/2023
NORTH,566390-0001,NAAC FANLING DAY NURSERY,N,04/07/2023
NORTH,566306-0001,NTW&JWA L FANLING NURSERY SCHOOL,Y,04/07/2023
NORTH,566330-0001,NTW&JWA L SHEUNG SHUI NURSERY SCHOOL,N,04/07/2023
NORTH,158780-0001,PLK MRS VICWOOD KT CHONG KINDERGARTEN,Y,04/07/2023
NORTH,516384-0001,PLK YIP NG BUN BUN QUEEN'S HILL KG,P,04/07/2023
NORTH,563110-0001,SA TIN PING NURSERY SCHOOL,N,04/07/2023
NORTH,150843-0001,SHEUNG SHUI CHURCH KINDERGARTEN,Y,04/07/2023
NORTH,157406-0001,SHEUNG SHUI RHENISH CHURCH KINDERGARTEN,Y,04/07/2023
NORTH,158208-0001,SHEUNG SHUI WAI CHOW KG (BRANCH),Y,04/07/2023
NORTH,158593-0001,TAI PING KINDERGARTEN,Y,04/07/2023
NORTH,536709-0001,TRUTH BAPTIST CHURCH HO YUEN WAI KING KG,Y,04/07/2023
NORTH,325767-0002,TWGH FONG SHU FOOK TONG KINDERGARTEN,Y,04/07/2023
NORTH,158534-0001,TWGH TSUI TSIN TONG KINDERGARTEN,Y,04/07/2023
NORTH,563544-0001,TWGHS  HUNG WONG KAR GEE NURSERY SCHOOL,N,04/07/2023
NORTH,563390-0001,YAN CHAI HOSPITAL WING LUNG KINDERGARTEN,Y,04/07/2023
TAI PO,565806-0001,C & MA PLOVER COVE NURSERY SCH,N,04/07/2023
TAI PO,158577-0001,C&MA CHURCH TAI WO KINDERGARTEN,Y,04/07/2023
TAI PO,563471-0001,EFCC - PO NGA NURSERY SCHOOL,Y,04/07/2023
TAI PO,158909-0001,FU HENG BAPTIST LUI KWOK PAT FONG KG,Y,04/07/2023
TAI PO,565237-0001,HKSPC LAM WOO NURSERY SCHOOL,P,04/07/2023
TAI PO,158062-0001,HKTA YUEN YUEN KG (FU SHIN ESTATE),Y,04/07/2023
TAI PO,231134-0001,MINK ANGLO-CHINESE KINDERGARTEN,N,04/07/2023
TAI PO,566578-0001,PENTECOSTAL CHURCH OF HK TAI WO NS,N,04/07/2023
TAI PO,157449-0001,PLK TANG BIK WAN MEMORIAL KINDERGARTEN,Y,04/07/2023
TAI PO,563722-0001,PO LEUNG KUK LAU CHUN KINDERGARTEN,Y,04/07/2023
TAI PO,563102-0001,SA TAI YUEN NURSERY SCH,N,04/07/2023
TAI PO,158119-0001,SKH THE CHURCH OF OUR SAVIOUR KG,Y,04/07/2023
TAI PO,159166-0001,TAI PO BAPTIST KG WAN TAU TONG ESTATE BR,Y,04/07/2023
TAI PO,151157-0001,TAI PO BAPTIST KINDERGARTEN,Y,04/07/2023
TAI PO,158585-0001,TAI PO CATHOLIC KINDERGARTEN,Y,04/07/2023
TAI PO,158828-0001,TAI PO MERCHANTS ASSOCIATION KG,P,04/07/2023
TAI PO,158895-0001,TAI PO METHODIST KINDERGARTEN,Y,04/07/2023
TAI PO,150860-0001,TAI PO RHENISH CHURCH KINDERGARTEN,Y,04/07/2023
TAI PO,150860-0002,TAI PO RHENISH CHURCH KINDERGARTEN,N,04/07/2023
TAI PO,564087-0001,TSUNG TSIN MISSION OF HK ON YAN NUR SCH,N,04/07/2023
TAI PO,157309-0001,TWGH HUNG WONG KAR GEE KINDERGARTEN,Y,04/07/2023
TAI PO,563560-0001,TWGHS FONG LAI MING NURSERY SCHOOL,N,04/07/2023
TAI PO,621366-0001,WWCWDHK DAVID WOO MEM ANGLO-CHINESE KG,Y,04/07/2023
TAI PO,564281-0001,YAN OI TONG MRS AUGUSTA CHEUNG KG,Y,04/07/2023
SAI KUNG,158739-0001,BAPT CONVENTION OF HK RCHK NORTHWEST KG,Y,04/07/2023
SAI KUNG,231363-0001,BEVERLY ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
SAI KUNG,565458-0001,BGCAHK CHEERLAND KG (TSEUNG KWAN O),P,04/07/2023
SAI KUNG,159255-0001,C&MA CH UNION TSEUNG KWAN O ALLIANCE KG,Y,04/07/2023
SAI KUNG,524026-0001,C&MA CHURCH VERBENA KINDERGARTEN,P,04/07/2023
SAI KUNG,619787-0001,CANNAN KINDERGARTEN (TSEUNG KWAN O),N,04/07/2023
SAI KUNG,565997-0001,CARITAS NURSERY SCHOOL - TSUI LAM,Y,04/07/2023
SAI KUNG,528609-0001,CCCHK CHI TO CH KEI POK KG (TKO),P,04/07/2023
SAI KUNG,563480-0001,EFCC - AGC ABUNDANT GRACE NUR SCH,Y,04/07/2023
SAI KUNG,563340-0001,EFCC - VERBENA NURSERY SCH,N,04/07/2023
SAI KUNG,564818-0001,ELCHK  KIN MING NURSERY SCHOOL,N,04/07/2023
SAI KUNG,533351-0001,ELCHK TSEUNG KWAN O KINDERGARTEN,Y,04/07/2023
SAI KUNG,592080-0001,FUN CREATIVE KINDERGARTEN,Y,04/07/2023
SAI KUNG,519634-0001,HK CHINESE CHURCH OF CHRIST THE LIGHT KG,Y,04/07/2023
SAI KUNG,563269-0001,HKSKH ST SIMON'S SAI KUNG NURSERY SCH,P,04/07/2023
SAI KUNG,565008-0001,HKSPC OCEAN SHORES NURSERY SCHOOL,N,04/07/2023
SAI KUNG,565270-0001,HKSPC SZE WU SHU MIN NURSERY SCHOOL,Y,04/07/2023
SAI KUNG,525758-0001,HO CHING KG (SPONSORED BY SIK SIK YUEN),P,04/07/2023
SAI KUNG,158771-0003,JUNK BAY KINGSLAND KINDERGARTEN,Y,04/07/2023
SAI KUNG,565768-0001,KING LAM LUTHERAN DAY NURSERY,Y,04/07/2023
SAI KUNG,542830-0001,KWUN TONG BAPTIST CHURCH CHOI MING KG,Y,04/07/2023
SAI KUNG,554901-0001,LOCK TAO CHRISTIAN KINDERGARTEN,Y,04/07/2023
SAI KUNG,563498-0001,MISSION COVENANT CH SISTER ANNIE'S KG,Y,04/07/2023
SAI KUNG,530735-0001,PENTECOSTAL CH OF HK LEUNG SING TAK ANGL,Y,04/07/2023
SAI KUNG,566586-0001,PENTECOSTAL CH OF HK TSEUNG KWAN O NS,N,04/07/2023
SAI KUNG,159204-0001,PLK FONG WONG WOON TAI KINDERGARTEN,P,04/07/2023
SAI KUNG,563978-0001,PO LEUNG KUK CHOI KAI YAU KG,Y,04/07/2023
SAI KUNG,158232-0002,PO LEUNG KUK YIP NG BUN BUN KINDERGARTEN,Y,04/07/2023
SAI KUNG,159239-0001,SA HING YAN KINDERGARTEN,Y,04/07/2023
SAI KUNG,563072-0001,SA MING TAK NURSERY SCH,N,04/07/2023
SAI KUNG,153036-0001,SAI KUNG LOK-YUK KINDERGARTEN,Y,04/07/2023
SAI KUNG,559768-0001,ST ANDREW'S CATHOLIC KINDERGARTEN,Y,04/07/2023
SAI KUNG,324957-0002,STEWARDS POOI YAN KINDERGARTEN,Y,04/07/2023
SAI KUNG,525731-0001,SUN ISLAND ENGLISH KG (SAI KUNG),Y,04/07/2023
SAI KUNG,530417-0001,TSEUNG KWAN O METHODIST KINDERGARTEN,Y,04/07/2023
